member_id,age,self_identified_gender,join_date,membership_tenure_days,risk_level,churn,churn_label,engagement_score,engagement_level
MB00303,19,Other (self-described),2023-11-25,606,Medium Risk,1,Churn,32.5,Low Engagement
MB00304,48,Female,2023-08-14,709,Medium Risk,1,Churn,28.666666666666668,Low Engagement
MB00305,32,Female,2023-05-11,804,Medium Risk,1,Churn,83.0,High Engagement
MB00306,48,Male,2022-08-18,1070,High Risk,1,Churn,41.416666666666664,Medium Engagement
MB00307,35,Non-binary,2023-12-21,580,Medium Risk,1,Churn,84.66666666666669,High Engagement
MB00308,47,Non-binary,2024-07-14,374,Low Risk,0,Retained,65.16666666666667,High Engagement
MB00309,39,Female,2023-02-27,877,High Risk,1,Churn,48.74999999999999,Medium Engagement
MB00310,19,Female,2024-09-07,319,Low Risk,0,Retained,47.41666666666667,Medium Engagement
MB00311,43,Prefer not to say,2024-03-12,498,Low Risk,0,Retained,80.58333333333334,High Engagement
MB00312,30,Non-binary,2025-03-31,114,Active,0,Retained,97.33333333333334,High Engagement
MB00313,21,Male,2025-05-27,57,Active,0,Retained,47.16666666666667,Medium Engagement
MB00314,35,Non-binary,2022-09-01,1056,High Risk,1,Churn,21.000000000000004,Low Engagement
MB00315,41,Non-binary,2023-01-14,921,High Risk,1,Churn,20.666666666666668,Low Engagement
MB00316,42,Male,2023-06-12,772,Medium Risk,1,Churn,74.00000000000001,High Engagement
MB00317,44,Male,2024-04-13,466,Low Risk,0,Retained,60.66666666666667,High Engagement
MB00318,15,Female,2024-12-20,215,Active,0,Retained,36.583333333333336,Medium Engagement
MB00319,47,Non-binary,2025-01-07,197,Active,0,Retained,36.416666666666664,Medium Engagement
MB00320,24,Female,2024-09-29,297,Low Risk,0,Retained,32.99999999999999,Low Engagement
MB00321,39,Female,2023-11-16,615,Medium Risk,1,Churn,65.91666666666667,High Engagement
MB00322,33,Female,2023-05-23,792,Medium Risk,1,Churn,19.333333333333332,Low Engagement
MB00323,47,Non-binary,2023-07-20,734,Medium Risk,1,Churn,42.416666666666664,Medium Engagement
MB00324,22,Female,2024-08-28,329,Low Risk,0,Retained,53.833333333333336,Medium Engagement
MB00325,42,Male,2022-09-10,1047,High Risk,1,Churn,37.5,Medium Engagement
MB00326,42,Male,2023-04-29,816,Medium Risk,1,Churn,59.41666666666667,Medium Engagement
MB00327,13,Male,2023-11-10,621,Medium Risk,1,Churn,50.66666666666667,Medium Engagement
MB00328,39,Female,2023-09-10,682,Medium Risk,1,Churn,84.83333333333334,High Engagement
MB00329,40,Male,2024-04-02,477,Low Risk,0,Retained,32.66666666666666,Low Engagement
MB00330,36,Male,2024-10-02,294,Low Risk,0,Retained,53.41666666666667,Medium Engagement
MB00331,16,Prefer not to say,2024-06-08,410,Low Risk,0,Retained,43.25,Medium Engagement
MB00332,29,Female,2023-04-07,838,High Risk,1,Churn,44.583333333333336,Medium Engagement
MB00333,16,Female,2025-06-07,46,Active,0,Retained,26.916666666666668,Low Engagement
MB00334,16,Male,2025-02-19,154,Active,0,Retained,59.00000000000001,Medium Engagement
MB00335,30,Other (self-described),2025-05-05,79,Active,0,Retained,35.75000000000001,Medium Engagement
MB00336,43,Male,2025-05-10,74,Active,0,Retained,53.333333333333336,Medium Engagement
MB00337,28,Male,2022-12-24,942,High Risk,1,Churn,91.33333333333333,High Engagement
MB00338,40,Male,2023-06-04,780,Medium Risk,1,Churn,47.833333333333336,Medium Engagement
MB00339,20,Female,2024-02-04,535,Low Risk,0,Retained,47.5,Medium Engagement
MB00340,39,Male,2025-03-10,135,Active,0,Retained,44.666666666666664,Medium Engagement
MB00341,25,Female,2024-01-16,554,Low Risk,0,Retained,47.91666666666667,Medium Engagement
MB00342,29,Other (self-described),2024-02-04,535,Low Risk,0,Retained,28.999999999999996,Low Engagement
MB00343,24,Male,2024-12-20,215,Active,0,Retained,59.25,Medium Engagement
MB00344,36,Female,2024-03-17,493,Low Risk,0,Retained,53.91666666666667,Medium Engagement
MB00345,19,Female,2024-04-24,455,Low Risk,0,Retained,31.75,Low Engagement
MB00346,18,Male,2023-09-06,686,Medium Risk,1,Churn,64.66666666666667,High Engagement
MB00347,14,Male,2023-08-16,707,Medium Risk,1,Churn,81.16666666666667,High Engagement
MB00348,14,Male,2025-05-05,79,Active,0,Retained,55.66666666666668,Medium Engagement
MB00349,20,Female,2024-05-20,429,Low Risk,0,Retained,66.83333333333334,High Engagement
MB00350,44,Female,2023-08-26,697,Medium Risk,1,Churn,39.666666666666664,Medium Engagement
MB00351,39,Male,2024-01-04,566,Medium Risk,1,Churn,69.66666666666667,High Engagement
MB00352,32,Female,2022-12-23,943,High Risk,1,Churn,40.16666666666667,Medium Engagement
MB00353,40,Prefer not to say,2023-07-22,732,Medium Risk,1,Churn,59.25,Medium Engagement
MB00354,34,Male,2024-12-31,204,Active,0,Retained,51.66666666666667,Medium Engagement
MB00355,46,Male,2025-04-08,106,Active,0,Retained,39.5,Medium Engagement
MB00356,27,Other (self-described),2023-08-08,715,Medium Risk,1,Churn,39.24999999999999,Medium Engagement
MB00357,13,Female,2025-05-25,59,Active,0,Retained,46.16666666666667,Medium Engagement
MB00358,19,Male,2023-10-08,654,Medium Risk,1,Churn,59.08333333333333,Medium Engagement
MB00359,37,Non-binary,2022-09-25,1032,High Risk,1,Churn,46.0,Medium Engagement
MB00360,42,Prefer not to say,2023-10-19,643,Medium Risk,1,Churn,41.41666666666667,Medium Engagement
MB00361,48,Female,2024-05-05,444,Low Risk,0,Retained,70.33333333333334,High Engagement
MB00362,28,Male,2023-08-07,716,Medium Risk,1,Churn,42.50000000000001,Medium Engagement
MB00363,21,Male,2024-02-20,519,Low Risk,0,Retained,42.50000000000001,Medium Engagement
MB00364,23,Male,2023-11-19,612,Medium Risk,1,Churn,57.333333333333336,Medium Engagement
MB00365,37,Male,2022-09-24,1033,High Risk,1,Churn,51.33333333333333,Medium Engagement
MB00366,14,Prefer not to say,2024-05-07,442,Low Risk,0,Retained,13.833333333333334,Low Engagement
MB00367,45,Prefer not to say,2022-09-03,1054,High Risk,1,Churn,40.75,Medium Engagement
MB00368,19,Male,2022-11-01,995,High Risk,1,Churn,99.33333333333334,High Engagement
MB00369,23,Non-binary,2024-11-26,239,Active,0,Retained,53.833333333333336,Medium Engagement
MB00370,38,Male,2025-04-10,104,Active,0,Retained,39.833333333333336,Medium Engagement
MB00371,14,Female,2025-03-07,138,Active,0,Retained,55.750000000000014,Medium Engagement
MB00372,46,Non-binary,2025-06-03,50,Active,0,Retained,46.5,Medium Engagement
MB00373,22,Female,2025-03-14,131,Active,0,Retained,67.08333333333333,High Engagement
MB00374,47,Female,2023-06-26,758,Medium Risk,1,Churn,32.33333333333333,Low Engagement
MB00375,28,Non-binary,2025-04-08,106,Active,0,Retained,39.916666666666664,Medium Engagement
MB00376,29,Male,2024-07-18,370,Low Risk,0,Retained,34.583333333333336,Low Engagement
MB00377,31,Female,2023-01-05,930,High Risk,1,Churn,47.0,Medium Engagement
MB00378,14,Male,2025-05-29,55,Active,0,Retained,39.66666666666667,Medium Engagement
MB00379,29,Other (self-described),2023-02-06,898,High Risk,1,Churn,28.999999999999996,Low Engagement
MB00380,22,Male,2024-08-26,331,Low Risk,0,Retained,17.0,Low Engagement
MB00381,47,Non-binary,2025-02-17,156,Active,0,Retained,36.5,Medium Engagement
MB00382,35,Male,2023-06-11,773,Medium Risk,1,Churn,58.91666666666667,Medium Engagement
MB00383,28,Female,2023-08-23,700,Medium Risk,1,Churn,60.00000000000001,High Engagement
MB00384,19,Female,2022-12-01,965,High Risk,1,Churn,40.416666666666664,Medium Engagement
MB00385,26,Male,2023-05-02,813,Medium Risk,1,Churn,47.0,Medium Engagement
MB00386,21,Male,2023-02-18,886,High Risk,1,Churn,36.666666666666664,Medium Engagement
MB00387,38,Male,2024-08-26,331,Low Risk,0,Retained,48.666666666666664,Medium Engagement
MB00388,25,Male,2024-12-16,219,Active,0,Retained,9.166666666666668,Low Engagement
MB00389,19,Male,2023-04-15,830,High Risk,1,Churn,48.583333333333336,Medium Engagement
MB00390,40,Female,2023-02-14,890,High Risk,1,Churn,53.0,Medium Engagement
MB00391,44,Female,2022-08-03,1085,High Risk,1,Churn,76.41666666666667,High Engagement
MB00392,16,Male,2024-04-09,470,Low Risk,0,Retained,58.5,Medium Engagement
MB00393,28,Male,2024-05-22,427,Low Risk,0,Retained,31.0,Low Engagement
MB00394,27,Prefer not to say,2023-03-19,857,High Risk,1,Churn,9.166666666666666,Low Engagement
MB00395,34,Female,2024-06-25,393,Low Risk,0,Retained,54.0,Medium Engagement
MB00396,27,Other (self-described),2022-10-05,1022,High Risk,1,Churn,39.24999999999999,Medium Engagement
MB00397,49,Male,2022-12-21,945,High Risk,1,Churn,56.50000000000001,Medium Engagement
MB00398,45,Male,2024-03-23,487,Low Risk,0,Retained,60.50000000000001,High Engagement
MB00399,49,Male,2023-04-15,830,High Risk,1,Churn,39.49999999999999,Medium Engagement
MB00400,42,Female,2023-04-11,834,High Risk,1,Churn,44.74999999999999,Medium Engagement
MB00401,27,Male,2025-03-05,140,Active,0,Retained,24.916666666666664,Low Engagement
MB00402,38,Female,2022-11-04,992,High Risk,1,Churn,58.00000000000001,Medium Engagement
MB00403,21,Non-binary,2024-01-01,569,Medium Risk,1,Churn,38.583333333333336,Medium Engagement
MB00404,29,Female,2023-01-24,911,High Risk,1,Churn,49.583333333333336,Medium Engagement
MB00405,33,Male,2024-07-17,371,Low Risk,0,Retained,60.00000000000001,High Engagement
MB00406,22,Male,2022-11-12,984,High Risk,1,Churn,78.66666666666667,High Engagement
MB00407,37,Male,2024-05-04,445,Low Risk,0,Retained,28.333333333333332,Low Engagement
MB00408,40,Male,2025-06-11,42,Active,0,Retained,25.916666666666664,Low Engagement
MB00409,29,Prefer not to say,2022-11-01,995,High Risk,1,Churn,44.583333333333336,Medium Engagement
MB00410,23,Other (self-described),2025-03-17,128,Active,0,Retained,59.583333333333336,Medium Engagement
MB00411,12,Non-binary,2024-07-17,371,Low Risk,0,Retained,55.91666666666667,Medium Engagement
MB00412,40,Male,2022-09-15,1042,High Risk,1,Churn,61.00000000000001,High Engagement
MB00413,27,Non-binary,2022-09-14,1043,High Risk,1,Churn,47.0,Medium Engagement
MB00414,34,Non-binary,2023-10-21,641,Medium Risk,1,Churn,40.833333333333336,Medium Engagement
MB00415,14,Female,2023-08-20,703,Medium Risk,1,Churn,44.16666666666667,Medium Engagement
MB00416,43,Prefer not to say,2024-03-02,508,Low Risk,0,Retained,25.16666666666667,Low Engagement
MB00417,33,Non-binary,2024-08-14,343,Low Risk,0,Retained,33.0,Low Engagement
MB00418,13,Male,2024-07-07,381,Low Risk,0,Retained,32.833333333333336,Low Engagement
MB00419,23,Non-binary,2023-07-07,747,Medium Risk,1,Churn,86.33333333333334,High Engagement
MB00420,22,Female,2023-04-13,832,High Risk,1,Churn,31.0,Low Engagement
MB00421,18,Male,2023-03-02,874,High Risk,1,Churn,46.08333333333333,Medium Engagement
MB00422,28,Prefer not to say,2023-03-05,871,High Risk,1,Churn,33.66666666666667,Low Engagement
MB00423,15,Male,2025-03-17,128,Active,0,Retained,55.41666666666667,Medium Engagement
MB00424,14,Male,2024-01-13,557,Low Risk,0,Retained,66.00000000000001,High Engagement
MB00425,40,Prefer not to say,2025-04-22,92,Active,0,Retained,59.25,Medium Engagement
MB00426,35,Male,2023-11-15,616,Medium Risk,1,Churn,51.083333333333336,Medium Engagement
MB00427,22,Female,2024-03-09,501,Low Risk,0,Retained,67.08333333333333,High Engagement
MB00428,20,Male,2022-11-20,976,High Risk,1,Churn,44.916666666666664,Medium Engagement
MB00429,49,Female,2024-06-14,404,Low Risk,0,Retained,49.83333333333333,Medium Engagement
MB00430,20,Female,2025-02-18,155,Active,0,Retained,47.5,Medium Engagement
MB00431,49,Male,2025-01-21,183,Active,0,Retained,36.5,Medium Engagement
MB00432,49,Male,2023-04-03,842,High Risk,1,Churn,60.83333333333334,High Engagement
MB00433,44,Male,2023-09-03,689,Medium Risk,1,Churn,15.416666666666668,Low Engagement
MB00434,22,Male,2025-03-07,138,Active,0,Retained,77.83333333333333,High Engagement
MB00435,36,Female,2025-03-25,120,Active,0,Retained,44.74999999999999,Medium Engagement
MB00436,32,Male,2023-06-07,777,Medium Risk,1,Churn,26.333333333333332,Low Engagement
MB00437,29,Non-binary,2025-04-06,108,Active,0,Retained,44.83333333333333,Medium Engagement
MB00438,49,Male,2023-01-29,906,High Risk,1,Churn,26.916666666666668,Low Engagement
MB00439,24,Male,2023-06-01,783,Medium Risk,1,Churn,54.16666666666667,Medium Engagement
MB00440,28,Prefer not to say,2025-03-28,117,Active,0,Retained,33.66666666666667,Low Engagement
MB00441,47,Other (self-described),2025-03-24,121,Active,0,Retained,35.5,Medium Engagement
MB00442,41,Female,2022-08-07,1081,High Risk,1,Churn,59.33333333333333,Medium Engagement
MB00443,32,Prefer not to say,2024-05-20,429,Low Risk,0,Retained,31.666666666666664,Low Engagement
MB00444,42,Male,2024-05-24,425,Low Risk,0,Retained,37.5,Medium Engagement
MB00445,39,Male,2023-02-08,896,High Risk,1,Churn,91.83333333333334,High Engagement
MB00446,44,Male,2022-09-18,1039,High Risk,1,Churn,15.416666666666668,Low Engagement
MB00447,39,Male,2022-08-07,1081,High Risk,1,Churn,38.0,Medium Engagement
MB00448,29,Male,2023-04-12,833,High Risk,1,Churn,40.916666666666664,Medium Engagement
MB00449,14,Male,2024-05-18,431,Low Risk,0,Retained,22.916666666666668,Low Engagement
MB00450,41,Male,2025-03-26,119,Active,0,Retained,35.75,Medium Engagement
MB00451,29,Prefer not to say,2023-03-18,858,High Risk,1,Churn,44.583333333333336,Medium Engagement
MB00452,36,Male,2023-11-06,625,Medium Risk,1,Churn,37.16666666666667,Medium Engagement
MB00453,38,Non-binary,2024-03-28,482,Low Risk,0,Retained,46.166666666666664,Medium Engagement
MB00454,14,Male,2022-10-31,996,High Risk,1,Churn,92.66666666666667,High Engagement
MB00455,30,Non-binary,2025-02-24,149,Active,0,Retained,79.0,High Engagement
MB00456,26,Female,2024-01-15,555,Low Risk,0,Retained,29.166666666666668,Low Engagement
MB00457,23,Female,2025-06-10,43,Active,0,Retained,54.41666666666667,Medium Engagement
MB00458,37,Non-binary,2024-02-09,530,Low Risk,0,Retained,46.0,Medium Engagement
MB00459,18,Male,2025-04-24,90,Active,0,Retained,40.666666666666664,Medium Engagement
MB00460,30,Prefer not to say,2025-02-16,157,Active,0,Retained,37.66666666666667,Medium Engagement
MB00461,23,Female,2025-02-17,156,Active,0,Retained,41.5,Medium Engagement
MB00462,40,Male,2023-08-01,722,Medium Risk,1,Churn,48.91666666666667,Medium Engagement
MB00463,16,Male,2023-04-20,825,Medium Risk,1,Churn,45.833333333333336,Medium Engagement
MB00464,20,Female,2023-10-10,652,Medium Risk,1,Churn,48.75,Medium Engagement
MB00465,29,Male,2022-09-02,1055,High Risk,1,Churn,65.58333333333334,High Engagement
MB00466,41,Non-binary,2024-05-19,430,Low Risk,0,Retained,57.58333333333333,Medium Engagement
MB00467,22,Female,2024-08-22,335,Low Risk,0,Retained,48.66666666666667,Medium Engagement
MB00468,30,Non-binary,2022-12-10,956,High Risk,1,Churn,70.75,High Engagement
MB00469,18,Male,2024-10-27,269,Active,0,Retained,35.0,Low Engagement
MB00470,22,Male,2022-09-01,1056,High Risk,1,Churn,4.000000000000001,Low Engagement
MB00471,18,Prefer not to say,2025-06-10,43,Active,0,Retained,45.666666666666664,Medium Engagement
MB00472,49,Female,2022-08-25,1063,High Risk,1,Churn,45.833333333333336,Medium Engagement
MB00473,31,Prefer not to say,2025-05-08,76,Active,0,Retained,37.16666666666667,Medium Engagement
MB00474,33,Female,2022-11-16,980,High Risk,1,Churn,50.583333333333336,Medium Engagement
MB00475,43,Prefer not to say,2023-12-08,593,Medium Risk,1,Churn,13.833333333333334,Low Engagement
MB00476,34,Male,2022-07-31,1088,High Risk,1,Churn,51.66666666666667,Medium Engagement
MB00477,30,Other (self-described),2025-04-05,109,Active,0,Retained,35.00000000000001,Medium Engagement
MB00478,25,Male,2023-11-11,620,Medium Risk,1,Churn,9.166666666666668,Low Engagement
MB00479,44,Female,2022-08-25,1063,High Risk,1,Churn,47.0,Medium Engagement
MB00480,19,Prefer not to say,2023-12-13,588,Medium Risk,1,Churn,46.666666666666664,Medium Engagement
MB00481,24,Female,2023-08-22,701,Medium Risk,1,Churn,41.5,Medium Engagement
MB00482,20,Female,2023-06-13,771,Medium Risk,1,Churn,26.333333333333336,Low Engagement
MB00483,44,Non-binary,2024-02-24,515,Low Risk,0,Retained,39.416666666666664,Medium Engagement
MB00484,17,Male,2023-08-24,699,Medium Risk,1,Churn,18.083333333333336,Low Engagement
MB00485,17,Female,2023-10-09,653,Medium Risk,1,Churn,49.5,Medium Engagement
MB00486,12,Male,2022-11-06,990,High Risk,1,Churn,63.83333333333334,High Engagement
MB00487,12,Male,2025-05-05,79,Active,0,Retained,47.66666666666667,Medium Engagement
MB00488,43,Male,2024-08-27,330,Low Risk,0,Retained,53.16666666666667,Medium Engagement
MB00489,47,Prefer not to say,2022-09-14,1043,High Risk,1,Churn,22.333333333333332,Low Engagement
MB00490,14,Male,2022-11-17,979,High Risk,1,Churn,40.0,Medium Engagement
MB00491,22,Male,2024-02-23,516,Low Risk,0,Retained,60.66666666666667,High Engagement
MB00492,33,Prefer not to say,2023-09-01,691,Medium Risk,1,Churn,63.41666666666668,High Engagement
MB00493,48,Non-binary,2024-08-31,326,Low Risk,0,Retained,34.333333333333336,Low Engagement
MB00494,23,Female,2024-12-04,231,Active,0,Retained,49.25000000000001,Medium Engagement
MB00495,44,Prefer not to say,2024-02-15,524,Low Risk,0,Retained,92.0,High Engagement
MB00496,18,Female,2024-06-11,407,Low Risk,0,Retained,56.08333333333334,Medium Engagement
MB00497,39,Female,2023-10-10,652,Medium Risk,1,Churn,12.75,Low Engagement
MB00498,27,Non-binary,2025-04-01,113,Active,0,Retained,47.833333333333336,Medium Engagement
MB00499,36,Male,2022-08-20,1068,High Risk,1,Churn,28.166666666666668,Low Engagement
MB00500,35,Male,2022-08-07,1081,High Risk,1,Churn,13.833333333333334,Low Engagement
MB00501,41,Female,2023-06-10,774,Medium Risk,1,Churn,56.75,Medium Engagement
MB00502,29,Male,2023-11-30,601,Medium Risk,1,Churn,65.58333333333334,High Engagement
MB00503,48,Male,2024-07-28,360,Low Risk,0,Retained,51.83333333333333,Medium Engagement
MB00504,42,Female,2023-02-07,897,High Risk,1,Churn,46.5,Medium Engagement
MB00505,39,Female,2023-06-24,760,Medium Risk,1,Churn,53.833333333333336,Medium Engagement
MB00506,30,Prefer not to say,2024-12-31,204,Active,0,Retained,80.41666666666667,High Engagement
MB00507,33,Female,2022-10-26,1001,High Risk,1,Churn,56.91666666666667,Medium Engagement
MB00508,48,Other (self-described),2023-01-28,907,High Risk,1,Churn,19.416666666666668,Low Engagement
MB00509,25,Male,2022-09-15,1042,High Risk,1,Churn,42.416666666666664,Medium Engagement
MB00510,19,Female,2023-05-12,803,Medium Risk,1,Churn,47.41666666666667,Medium Engagement
MB00511,45,Female,2023-09-08,684,Medium Risk,1,Churn,61.75000000000001,High Engagement
MB00512,39,Female,2024-04-03,476,Low Risk,0,Retained,12.75,Low Engagement
MB00513,27,Male,2022-10-03,1024,High Risk,1,Churn,47.83333333333333,Medium Engagement
MB00514,26,Non-binary,2022-12-13,953,High Risk,1,Churn,37.666666666666664,Medium Engagement
MB00515,15,Female,2025-05-05,79,Active,0,Retained,36.583333333333336,Medium Engagement
MB00516,35,Male,2025-05-25,59,Active,0,Retained,60.333333333333336,High Engagement
MB00517,38,Female,2024-05-18,431,Low Risk,0,Retained,52.83333333333334,Medium Engagement
MB00518,31,Male,2023-02-10,894,High Risk,1,Churn,22.000000000000004,Low Engagement
MB00519,15,Male,2022-08-06,1082,High Risk,1,Churn,21.416666666666668,Low Engagement
MB00520,12,Male,2025-01-13,191,Active,0,Retained,95.5,High Engagement
MB00521,19,Other (self-described),2023-09-29,663,Medium Risk,1,Churn,32.5,Low Engagement
MB00522,46,Non-binary,2024-05-13,436,Low Risk,0,Retained,25.083333333333336,Low Engagement
MB00523,44,Female,2022-08-25,1063,High Risk,1,Churn,94.16666666666667,High Engagement
MB00524,46,Non-binary,2023-01-08,927,High Risk,1,Churn,38.33333333333333,Medium Engagement
MB00525,18,Female,2023-01-12,923,High Risk,1,Churn,29.416666666666668,Low Engagement
MB00526,47,Prefer not to say,2024-02-09,530,Low Risk,0,Retained,22.333333333333332,Low Engagement
MB00527,23,Female,2024-04-07,472,Low Risk,0,Retained,53.66666666666667,Medium Engagement
MB00528,37,Female,2024-09-04,322,Low Risk,0,Retained,28.833333333333332,Low Engagement
MB00529,21,Male,2025-04-23,91,Active,0,Retained,9.000000000000002,Low Engagement
MB00530,34,Male,2022-12-15,951,High Risk,1,Churn,45.416666666666664,Medium Engagement
MB00531,46,Prefer not to say,2023-02-08,896,High Risk,1,Churn,99.50000000000001,High Engagement
MB00532,34,Male,2022-07-24,1095,High Risk,1,Churn,59.333333333333336,Medium Engagement
MB00533,29,Prefer not to say,2022-07-27,1092,High Risk,1,Churn,65.25000000000001,High Engagement
MB00534,25,Female,2023-11-09,622,Medium Risk,1,Churn,51.25000000000001,Medium Engagement
MB00535,49,Male,2023-03-27,849,High Risk,1,Churn,22.499999999999996,Low Engagement
MB00536,29,Male,2022-09-20,1037,High Risk,1,Churn,35.50000000000001,Medium Engagement
MB00537,14,Female,2022-12-31,935,High Risk,1,Churn,45.0,Medium Engagement
MB00538,18,Prefer not to say,2024-10-02,294,Low Risk,0,Retained,55.41666666666667,Medium Engagement
MB00539,49,Female,2024-02-29,510,Low Risk,0,Retained,29.08333333333334,Low Engagement
MB00540,45,Male,2025-02-05,168,Active,0,Retained,52.083333333333336,Medium Engagement
MB00541,20,Male,2022-09-10,1047,High Risk,1,Churn,19.5,Low Engagement
MB00542,34,Male,2023-09-16,676,Medium Risk,1,Churn,46.333333333333336,Medium Engagement
MB00543,18,Non-binary,2024-10-22,274,Active,0,Retained,10.833333333333334,Low Engagement
MB00544,21,Male,2023-07-08,746,Medium Risk,1,Churn,89.83333333333334,High Engagement
MB00545,33,Other (self-described),2023-09-03,689,Medium Risk,1,Churn,39.416666666666664,Medium Engagement
MB00546,27,Male,2024-06-06,412,Low Risk,0,Retained,64.75000000000001,High Engagement
MB00547,24,Female,2025-02-22,151,Active,0,Retained,38.166666666666664,Medium Engagement
MB00548,45,Non-binary,2023-07-08,746,Medium Risk,1,Churn,53.0,Medium Engagement
MB00549,13,Other (self-described),2023-12-16,585,Medium Risk,1,Churn,43.75,Medium Engagement
MB00550,29,Female,2023-03-23,853,High Risk,1,Churn,46.166666666666664,Medium Engagement
MB00551,28,Female,2023-12-17,584,Medium Risk,1,Churn,47.41666666666667,Medium Engagement
MB00552,44,Male,2022-12-28,938,High Risk,1,Churn,60.66666666666667,High Engagement
MB00553,38,Female,2023-11-13,618,Medium Risk,1,Churn,63.583333333333336,High Engagement
MB00554,19,Prefer not to say,2023-11-03,628,Medium Risk,1,Churn,53.41666666666667,Medium Engagement
MB00555,27,Non-binary,2022-12-02,964,High Risk,1,Churn,57.00000000000001,Medium Engagement
MB00556,35,Male,2024-04-19,460,Low Risk,0,Retained,58.91666666666667,Medium Engagement
MB00557,43,Male,2025-01-31,173,Active,0,Retained,8.0,Low Engagement
MB00558,37,Female,2025-05-23,61,Active,0,Retained,18.166666666666664,Low Engagement
MB00559,13,Female,2023-04-10,835,High Risk,1,Churn,39.75,Medium Engagement
MB00560,24,Male,2023-09-01,691,Medium Risk,1,Churn,40.416666666666664,Medium Engagement
MB00561,45,Male,2023-06-04,780,Medium Risk,1,Churn,43.33333333333333,Medium Engagement
MB00562,23,Other (self-described),2024-11-08,257,Active,0,Retained,74.75,High Engagement
MB00563,47,Non-binary,2025-01-28,176,Active,0,Retained,59.833333333333336,Medium Engagement
MB00564,47,Male,2025-06-07,46,Active,0,Retained,33.33333333333333,Low Engagement
MB00565,32,Female,2024-06-14,404,Low Risk,0,Retained,40.16666666666667,Medium Engagement
MB00566,19,Female,2023-10-03,659,Medium Risk,1,Churn,35.75000000000001,Medium Engagement
MB00567,16,Male,2024-05-01,448,Low Risk,0,Retained,45.833333333333336,Medium Engagement
MB00568,24,Male,2024-03-14,496,Low Risk,0,Retained,72.16666666666669,High Engagement
MB00569,23,Female,2022-11-03,993,High Risk,1,Churn,23.166666666666664,Low Engagement
MB00570,30,Prefer not to say,2024-06-17,401,Low Risk,0,Retained,80.41666666666667,High Engagement
MB00571,49,Prefer not to say,2023-03-11,865,High Risk,1,Churn,56.333333333333336,Medium Engagement
MB00572,42,Female,2024-04-26,453,Low Risk,0,Retained,24.333333333333336,Low Engagement
MB00573,39,Prefer not to say,2023-08-30,693,Medium Risk,1,Churn,46.166666666666664,Medium Engagement
MB00574,29,Other (self-described),2022-12-17,949,High Risk,1,Churn,39.166666666666664,Medium Engagement
MB00575,33,Female,2022-09-15,1042,High Risk,1,Churn,61.25000000000001,High Engagement
MB00576,40,Male,2025-01-17,187,Active,0,Retained,34.583333333333336,Low Engagement
MB00577,20,Male,2022-10-10,1017,High Risk,1,Churn,47.333333333333336,Medium Engagement
MB00578,38,Prefer not to say,2024-01-15,555,Low Risk,0,Retained,2.8333333333333335,Low Engagement
MB00579,33,Male,2024-09-20,306,Low Risk,0,Retained,47.333333333333336,Medium Engagement
MB00580,26,Other (self-described),2024-02-20,519,Low Risk,0,Retained,38.99999999999999,Medium Engagement
MB00581,27,Prefer not to say,2022-08-14,1074,High Risk,1,Churn,37.41666666666667,Medium Engagement
MB00582,20,Female,2024-01-15,555,Low Risk,0,Retained,67.66666666666667,High Engagement
MB00583,23,Male,2024-07-07,381,Low Risk,0,Retained,49.083333333333336,Medium Engagement
MB00584,12,Male,2023-08-18,705,Medium Risk,1,Churn,63.83333333333334,High Engagement
MB00585,41,Prefer not to say,2024-10-10,286,Low Risk,0,Retained,56.25,Medium Engagement
MB00586,32,Male,2025-04-03,111,Active,0,Retained,50.33333333333333,Medium Engagement
MB00587,44,Female,2025-02-05,168,Active,0,Retained,94.16666666666667,High Engagement
MB00588,29,Male,2025-02-06,167,Active,0,Retained,40.916666666666664,Medium Engagement
MB00589,20,Female,2025-01-12,192,Active,0,Retained,28.666666666666668,Low Engagement
MB00590,35,Male,2025-01-26,178,Active,0,Retained,60.333333333333336,High Engagement
MB00591,48,Male,2023-08-10,713,Medium Risk,1,Churn,49.75,Medium Engagement
MB00592,22,Male,2024-12-11,224,Active,0,Retained,60.66666666666667,High Engagement
MB00593,22,Male,2024-06-19,399,Low Risk,0,Retained,17.0,Low Engagement
MB00594,30,Non-binary,2022-11-10,986,High Risk,1,Churn,70.75,High Engagement
MB00595,47,Female,2024-02-04,535,Low Risk,0,Retained,32.33333333333333,Low Engagement
MB00596,32,Male,2023-07-13,741,Medium Risk,1,Churn,50.5,Medium Engagement
MB00597,20,Female,2024-12-21,214,Active,0,Retained,67.66666666666667,High Engagement
MB00598,40,Other (self-described),2024-11-30,235,Active,0,Retained,53.333333333333336,Medium Engagement
MB00599,25,Female,2025-05-10,74,Active,0,Retained,47.91666666666667,Medium Engagement
MB00600,45,Male,2024-12-25,210,Active,0,Retained,66.66666666666667,High Engagement
MB00601,49,Male,2024-08-30,327,Low Risk,0,Retained,36.5,Medium Engagement
MB00602,30,Other (self-described),2024-12-16,219,Active,0,Retained,38.00000000000001,Medium Engagement
MB00603,27,Female,2025-03-20,125,Active,0,Retained,15.166666666666668,Low Engagement
MB00604,30,Prefer not to say,2025-02-14,159,Active,0,Retained,60.16666666666667,High Engagement
